frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,delta_all_body,delta_head,delta_upper_body,delta_lower_body,delta_arms,delta_legs,delta_left_arm,delta_right_arm,delta_left_leg,delta_right_leg,delta_left_shoulder,delta_right_shoulder,delta_left_elbow,delta_right_elbow,delta_left_wrist,delta_right_wrist,delta_left_hip,delta_right_hip,delta_left_knee,delta_right_knee,delta_left_ankle,delta_right_ankle
625,6,3,3,1950,0.205,0.02,0.149,0.073,0.149,0.073,0.089,0.086,0.029,0.044,0.006,0.003,0.039,0.028,0.066,0.065,0.007,0.005,0.007,0.014,0.019,0.027
630,7,3,3,1950,-0.111,0.024,-0.194,0.301,-0.194,0.301,-0.007,-0.012,0.126,0.248,0.033,0.004,0.045,0.027,0.026,0.053,0.017,0.016,0.053,0.107,0.089,0.171
635,8,3,3,1950,-0.808,0.014,-0.098,-0.593,-0.098,-0.593,-0.068,-0.049,-0.073,-0.146,0.016,0.01,0.016,0.019,0.004,0.006,0.019,0.021,0.021,0.073,0.046,0.054
640,9,3,3,1950,1.248,0.027,0.324,0.22,0.324,0.22,0.089,0.118,0.002,-0.001,0.031,0.021,0.052,0.049,0.042,0.083,0.017,0.014,0.023,0.088,0.048,0.045
645,10,3,3,1950,-0.568,0.031,-0.12,0.092,-0.12,0.092,0.081,0.006,0.074,0.019,0.031,0.049,0.057,0.072,0.118,0.038,0.02,0.02,0.058,0.069,0.084,0.077
650,11,3,3,1950,-0.522,0.019,-0.289,-0.249,-0.289,-0.249,-0.126,-0.076,-0.065,-0.091,0.013,0.018,0.02,0.025,0.047,0.04,0.018,0.022,0.018,0.023,0.061,0.03
655,12,3,3,1950,0.917,0.016,0.166,0.216,0.166,0.216,-0.01,-0.026,-0.024,0.084,0.014,0.022,0.027,0.025,0.029,0.01,0.019,0.021,0.018,0.068,0.036,0.07
660,13,3,3,1950,-0.41,0.016,0.04,-0.068,0.04,-0.068,0.023,-0.019,-0.003,-0.005,0.018,0.013,0.051,0.012,0.024,0.013,0.008,0.01,0.031,0.063,0.031,0.081
665,14,3,3,1950,0.127,0.002,0.045,0.068,0.045,0.068,0.038,0.011,-0.001,0.061,0.008,0.011,0.035,0.002,0.088,0.036,0.014,0.005,0.023,0.068,0.032,0.142
670,15,3,3,1950,-0.24,0.004,0.04,-0.169,0.04,-0.169,0.013,0.076,-0.022,-0.087,0.027,0.018,0.075,0.067,0.042,0.04,0.008,0.01,0.027,0.027,0.012,0.091
675,16,3,3,1950,0.395,0.004,0.098,0.168,0.098,0.168,0.02,0.167,-0.002,0.061,0.021,0.013,0.075,0.103,0.068,0.176,0.004,0.016,0.01,0.079,0.031,0.094
680,17,3,3,1950,-0.466,0.015,-0.25,0.039,-0.25,0.039,0.12,-0.183,0.164,-0.066,0.026,0.029,0.118,0.035,0.14,0.045,0.022,0.021,0.062,0.024,0.125,0.078
685,18,3,3,1950,0.113,0.002,-0.007,-0.078,-0.007,-0.078,-0.018,-0.052,0.036,-0.016,0.005,0.001,0.08,0.015,0.181,0.041,0.026,0.002,0.093,0.017,0.126,0.088
690,19,3,3,1950,0.484,0.002,0.278,0.121,0.278,0.121,-0.035,0.243,0.096,0.045,0.009,0.033,0.056,0.084,0.166,0.183,0.007,0.03,0.123,0.035,0.211,0.087
695,20,3,3,1950,-0.857,0.015,-0.252,-0.219,-0.252,-0.219,0.049,-0.093,0.001,-0.079,0.025,0.031,0.107,0.082,0.148,0.094,0.048,0.04,0.14,0.022,0.154,0.011
700,21,3,3,1950,0.374,0.005,-0.104,0.017,-0.104,0.017,-0.093,-0.055,-0.013,-0.048,0.002,0.005,0.076,0.035,0.109,0.112,0.004,0.005,0.113,0.008,0.212,0.012
705,22,3,3,1950,0.621,0.026,0.397,0.116,0.397,0.116,0.089,0.16,0.022,0.033,0.027,0.028,0.086,0.119,0.163,0.165,0.05,0.036,0.153,0.016,0.148,0.006
710,23,3,3,1950,-1.475,0.019,-0.581,-0.374,-0.581,-0.374,-0.202,-0.13,-0.299,-0.02,0.021,0.037,0.024,0.05,0.029,0.095,0.02,0.027,0.022,0.009,0.01,0.002
715,24,3,3,1950,2.051,0.042,0.633,0.44,0.633,0.44,0.11,0.191,0.095,0.026,0.007,0.033,0.041,0.122,0.136,0.218,0.024,0.008,0.022,0.038,0.101,0.018
165,0,4,4,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1,4,4,1950,0.369,0.019,0.291,0.059,0.291,0.059,0.083,0.208,0.012,0.047,0.02,0.035,0.031,0.064,0.032,0.109,0.007,0.013,0.004,0.019,0.001,0.015
175,2,4,4,1950,-0.782,0.021,-0.398,-0.036,-0.398,-0.036,-0.022,-0.085,0.015,0.008,0.017,0.031,0.017,0.042,0.027,0.05,0.019,0.024,0.006,0.027,0.002,0.004
180,3,4,4,1950,0.395,0.017,0.035,-0.07,0.035,-0.07,0.024,-0.096,-0.012,-0.035,0.018,0.009,0.026,0.004,0.041,0.014,0.009,0.006,0.004,0.011,0.002,0.003
185,4,4,4,1950,0.083,0.013,0.023,0.029,0.023,0.029,-0.048,-0.001,-0.009,-0.009,0.01,0.007,0.013,0.002,0.014,0.017,0.003,0.004,0.002,0.004,0.001,0.003
190,5,4,4,1950,0.036,0.014,0.051,0.036,0.051,0.036,-0.009,0.011,0.012,0.006,0.014,0.014,0.006,0.008,0.008,0.015,0.01,0.01,0.004,0.004,0.004,0.003
195,6,4,4,1950,-0.132,0.01,-0.01,-0.031,-0.01,-0.031,0.0,-0.008,-0.01,-0.003,0.011,0.009,0.013,0.008,0.004,0.012,0.004,0.006,0.001,0.004,0.003,0.004
200,7,4,4,1950,0.041,0.008,-0.002,0.004,-0.002,0.004,-0.014,0.004,-0.004,-0.005,0.005,0.008,0.007,0.013,0.002,0.012,0.002,0.004,0.0,0.002,0.002,0.003
205,8,4,4,1950,0.002,0.007,-0.005,0.01,-0.005,0.01,-0.004,-0.011,0.002,-0.001,0.003,0.004,0.006,0.007,0.001,0.011,0.003,0.004,0.001,0.003,0.002,0.001
210,9,4,4,1950,0.005,0.004,0.019,-0.006,0.019,-0.006,0.005,-0.001,-0.001,-0.004,0.004,0.004,0.007,0.006,0.004,0.011,0.003,0.001,0.001,0.002,0.001,0.001
215,10,4,4,1950,-0.008,0.003,0.004,0.002,0.004,0.002,-0.007,0.015,-0.002,-0.001,0.003,0.004,0.002,0.009,0.003,0.023,0.002,0.002,0.001,0.001,0.0,0.0
220,11,4,4,1950,0.1,0.001,0.092,0.016,0.092,0.016,0.045,0.055,0.007,0.006,0.003,0.006,0.001,0.009,0.049,0.076,0.004,0.006,0.004,0.003,0.002,0.0
225,12,4,4,1950,0.064,0.037,0.053,0.083,0.053,0.083,0.086,0.067,0.028,0.068,0.04,0.039,0.048,0.057,0.051,0.062,0.034,0.035,0.001,0.034,0.003,0.008
230,13,4,4,1950,-0.638,0.024,-0.329,-0.16,-0.329,-0.16,-0.091,-0.085,-0.02,-0.044,0.019,0.02,0.022,0.017,0.007,0.036,0.016,0.014,0.001,0.008,0.001,0.011
235,14,4,4,1950,0.622,0.002,0.077,0.078,0.077,0.078,-0.033,-0.066,0.008,0.006,0.005,0.001,0.005,0.001,0.005,0.005,0.002,0.006,0.008,0.028,0.016,0.005
